country,causality_from,causality_to,p_value
NO,mbtru,aesfdrk,0.04348525734816767
NO,aesfdrk,marsts,0.20179397220576809
NO,marsts,aesfdrk,0.45254664217341606
NO,aesfdrk,mnactp,0.00035018261512257835
NO,mnactp,aesfdrk,0.011487396953372118
NO,aesfdrk,mocntr,0.008635212943463574
NO,mocntr,aesfdrk,0.0825007718983654
NO,aesfdrk,nacer2,0.08199993118547722
NO,nacer2,aesfdrk,0.12394945722807853
NO,aesfdrk,occf14b,0.9001396068984766
NO,occf14b,aesfdrk,0.9330862699302723
NO,aesfdrk,polintr,0.49779287816711565
NO,polintr,aesfdrk,0.05810077593505452
NO,aesfdrk,pdjobev,0.0020333205879029892
NO,pdjobev,aesfdrk,0.33467056391647515
NO,aesfdrk,occm14b,0.06757399418316914
NO,occm14b,aesfdrk,0.146213281462368
NO,aesfdrk,pdwrk,0.9986330190762016
NO,pdwrk,aesfdrk,0.8981437752387785
NO,aesfdrk,njbspv,0.9632735108172588
NO,njbspv,aesfdrk,0.7706763434741778
NO,aesfdrk,pdwrkp,0.015268064193634677
NO,pdwrkp,aesfdrk,0.25577371194613113
NO,aesfdrk,rlgblg,0.6311269350369563
NO,rlgblg,aesfdrk,0.3085730093668282
NO,aesfdrk,pplfair,0.013372329323414324
NO,pplfair,aesfdrk,0.470957081865021
NO,aesfdrk,rlgdnm,0.054358570071900286
NO,rlgdnm,aesfdrk,0.6587752649125314
NO,aesfdrk,pplhlp,0.23977943577513872
NO,pplhlp,aesfdrk,0.29593830542008087
NO,aesfdrk,rlgdnno,0.46098272747861097
NO,rlgdnno,aesfdrk,0.65723689024656
NO,aesfdrk,rshpsts,0.0884245843146092
NO,rshpsts,aesfdrk,0.11466079577912479
NO,aesfdrk,rtrd,0.008087221733427363
NO,rtrd,aesfdrk,0.2512933621884073
NO,aesfdrk,rtrdp,0.0002203740860852363
NO,rtrdp,aesfdrk,0.39635919764259064
NO,aesfdrk,sclact,0.33478457513758475
NO,sclact,aesfdrk,0.09621688333088667
NO,aesfdrk,sclmeet,0.0018279365762668808
NO,sclmeet,aesfdrk,0.022217254769269845
NO,aesfdrk,stfdem,0.11756779459692882
NO,stfdem,aesfdrk,0.10664383116802394
NO,aesfdrk,stfeco,0.0211894644757059
NO,stfeco,aesfdrk,0.633683030100883
NO,aesfdrk,stfedu,0.8193216587640827
NO,stfedu,aesfdrk,0.02864352590871062
NO,aesfdrk,stfgov,8.402533473190757e-05
NO,stfgov,aesfdrk,0.323097927223424
NO,aesfdrk,stfhlth,9.762223165009416e-05
NO,stfhlth,aesfdrk,0.4191425431927616
NO,aesfdrk,tporgwk,0.07624065994940399
NO,tporgwk,aesfdrk,0.10671474450549093
NO,aesfdrk,stflife,0.24022367508924727
NO,stflife,aesfdrk,0.0031687107203113352
NO,aesfdrk,trstep,0.12718021353079992
NO,trstep,aesfdrk,0.09235926022372012
NO,aesfdrk,trstlgl,0.9483236471812859
NO,trstlgl,aesfdrk,0.35949176889050405
NO,aesfdrk,trstplc,0.8448956532610308
NO,trstplc,aesfdrk,0.06373935506160451
NO,aesfdrk,trstplt,7.012134789620669e-05
NO,trstplt,aesfdrk,0.4951409843542563
NO,aesfdrk,trstprt,0.0008571852318720898
NO,trstprt,aesfdrk,0.2061573535650751
NO,aesfdrk,trstprl,0.04778388336257559
NO,trstprl,aesfdrk,0.10119140902721685
NO,aesfdrk,trstun,0.03420015790717351
NO,trstun,aesfdrk,0.016797446471651434
NO,aesfdrk,uemp12m,4.721559443519487e-05
NO,uemp12m,aesfdrk,0.5250752742299507
NO,aesfdrk,uemp3m,0.58100942467265
NO,uemp3m,aesfdrk,0.0035477090090677197
NO,aesfdrk,uemp5yr,0.43552653603266595
NO,uemp5yr,aesfdrk,0.5804866565259316
NO,aesfdrk,uempla,0.4837323530060517
NO,uempla,aesfdrk,0.26694304280353254
NO,aesfdrk,uemplap,0.7767580325847301
NO,uemplap,aesfdrk,0.2856719789379186
NO,aesfdrk,uempli,0.2685690622986695
NO,uempli,aesfdrk,0.7033251589842346
NO,aesfdrk,uemplip,0.0043000169399867215
NO,uemplip,aesfdrk,0.672648340402337
NO,aesfdrk,wkdcorga,0.00452717892189955
NO,wkdcorga,aesfdrk,0.03775661237513831
NO,aesfdrk,wkhtot,0.9632735108172588
NO,wkhtot,aesfdrk,0.7706763434741778
NO,aesfdrk,wrkac6m,0.2625406612608402
NO,wrkac6m,aesfdrk,0.4571983140587668
NO,aesfdrk,wkhct,0.9632735108172588
NO,wkhct,aesfdrk,0.7706763434741778
NO,aesfdrk,wkhtotp,0.9632735108172588
NO,wkhtotp,aesfdrk,0.7706763434741778
NO,atncrse,bctprd,0.09462152946602746
NO,bctprd,atncrse,0.7581583532050119
NO,aesfdrk,wrkctra,0.09685041956950831
NO,wrkctra,aesfdrk,0.12155762608802095
NO,atncrse,chldhhe,0.0563987348253284
NO,chldhhe,atncrse,0.13879670615443865
NO,atncrse,clsprty,0.009846172396226989
NO,clsprty,atncrse,0.21439224912975052
NO,atncrse,cmsrv,0.6007433640934821
NO,cmsrv,atncrse,0.017884334902780998
NO,atncrse,crmvct,0.47299170685613645
NO,crmvct,atncrse,0.0394790533293413
NO,atncrse,crpdwk,0.31472273469195705
NO,crpdwk,atncrse,0.4856034762830012
NO,atncrse,crpdwkp,0.09471698079488117
NO,crpdwkp,atncrse,0.7505262836711194
NO,atncrse,ctzcntr,0.01630192410044713
NO,ctzcntr,atncrse,0.5322395686008838
NO,atncrse,dngnapp,0.07652618870469496
NO,dngnapp,atncrse,0.000302604052434481
NO,atncrse,dngoth,0.03545638142382075
NO,dngoth,atncrse,0.021012695686241218
NO,atncrse,dngothp,0.563341453614415
NO,dngothp,atncrse,0.2309614878368732
NO,atncrse,domicil,0.3118413012356376
NO,domicil,atncrse,0.0696957109007096
NO,atncrse,dsbld,0.48334698675430005
NO,dsbld,atncrse,0.11043056227998288
NO,atncrse,dsbldp,0.31178660869195607
NO,dsbldp,atncrse,0.1002008042948791
NO,atncrse,dscrdsb,0.0016004450779967664
NO,dscrdsb,atncrse,0.11979198312349663
NO,atncrse,dscretn,0.06812925434781969
NO,dscretn,atncrse,0.06850976079197395
NO,atncrse,dscrgnd,0.03226123290438736
NO,dscrgnd,atncrse,0.09848548080858266
NO,atncrse,dscrgrp,0.09444648160228453
NO,dscrgrp,atncrse,0.7568819221246254
NO,atncrse,dscrlng,0.01953410023891404
NO,dscrlng,atncrse,0.0221202189607559
NO,atncrse,dscrntn,0.921502619129262
NO,dscrntn,atncrse,0.545168410959638
NO,atncrse,dscroth,0.10877601296043156
NO,dscroth,atncrse,0.1561071447889462
NO,atncrse,dscrrce,0.026950341672997914
NO,dscrrce,atncrse,0.09990521486509094
NO,atncrse,dscrrlg,0.12969532080612062
NO,dscrrlg,atncrse,0.027878617006884866
NO,atncrse,dscrsex,0.05635009166700013
NO,dscrsex,atncrse,0.06840908158706537
NO,atncrse,dvrcdeva,0.2554327432098042
NO,dvrcdeva,atncrse,0.19450546686084672
NO,atncrse,edctn,0.0104893124022271
NO,edctn,atncrse,0.12260183313595241
NO,atncrse,edctnp,0.07576974238662214
NO,edctnp,atncrse,0.008604055440766
NO,atncrse,edulvlb,0.29388845045882117
NO,edulvlb,atncrse,0.048779663111066046
NO,atncrse,edulvlfb,0.26766295995143774
NO,edulvlfb,atncrse,0.0528534589129262
NO,atncrse,edulvlmb,0.21186222235640853
NO,edulvlmb,atncrse,0.07637012794899409
NO,atncrse,edulvlpb,0.5323425962797592
NO,edulvlpb,atncrse,0.2508601824912545
NO,atncrse,eisced,0.027101565201379327
NO,eisced,atncrse,0.011504890856722084
NO,atncrse,eiscedf,0.2867231471408129
NO,eiscedf,atncrse,0.17605849952919758
NO,atncrse,eiscedm,0.17569996508238284
NO,eiscedm,atncrse,0.156059051084165
NO,atncrse,eiscedp,0.34194848552567497
NO,eiscedp,atncrse,0.27288167347485875
NO,atncrse,emprelp,0.16453400622055764
NO,emprelp,atncrse,0.006836609947552346
NO,atncrse,emplrel,0.49451262416683894
NO,emplrel,atncrse,0.14270180181087014
NO,atncrse,estsz,0.016949041705152348
NO,estsz,atncrse,0.20837968928173922
NO,atncrse,emprf14,0.14696122953078178
NO,emprf14,atncrse,0.007338128993396804
NO,atncrse,facntr,0.09452912702957997
NO,facntr,atncrse,0.7572022974841782
NO,atncrse,emprm14,0.5444121560167285
NO,emprm14,atncrse,0.22284074148329755
NO,atncrse,freehms,0.7822415097227966
NO,freehms,atncrse,0.9256025635050149
NO,atncrse,happy,0.002156936967785831
NO,happy,atncrse,0.21681101623349627
NO,atncrse,health,0.04728081324292381
NO,health,atncrse,0.03892179486023411
NO,atncrse,hincfel,0.20320251142134496
NO,hincfel,atncrse,0.05249565559746635
NO,atncrse,hincsrca,0.1434799399496203
NO,hincsrca,atncrse,0.14925408724440256
NO,atncrse,hinctnta,0.8398968069096878
NO,hinctnta,atncrse,0.01673963466770712
NO,atncrse,hswrk,0.046203310943557535
NO,hswrk,atncrse,0.09595555326224912
NO,atncrse,hlthhmp,0.04688918430820457
NO,hlthhmp,atncrse,0.44346467428992004
NO,atncrse,hswrkp,0.1027174686989227
NO,hswrkp,atncrse,0.057603299253554674
NO,atncrse,imbgeco,0.04735139340476538
NO,imbgeco,atncrse,0.2858628521334908
NO,atncrse,imdfetn,0.9033109088473614
NO,imdfetn,atncrse,0.5988582613933965
NO,atncrse,impcntr,0.5265510431883426
NO,impcntr,atncrse,0.01754386153258729
NO,atncrse,imsmetn,0.4366799805752582
NO,imsmetn,atncrse,0.7779375204264597
NO,atncrse,imueclt,0.044194790584489926
NO,imueclt,atncrse,0.025489434641431885
NO,atncrse,imwbcnt,0.006726896487349953
NO,imwbcnt,atncrse,0.08444434471653195
NO,atncrse,iorgact,0.014392867823583594
NO,iorgact,atncrse,0.3475257261209417
NO,atncrse,jbspv,0.4206981621559774
NO,jbspv,atncrse,0.09212792194858671
NO,atncrse,lrscale,0.6602665908255663
NO,lrscale,atncrse,0.09924743452595328
NO,atncrse,lvgptnea,0.5275112931973354
NO,lvgptnea,atncrse,0.2181728410551651
NO,atncrse,mainact,0.16797889748995382
NO,mainact,atncrse,0.15042402373685063
NO,atncrse,maritalb,0.015397671786009866
NO,maritalb,atncrse,0.09341882168919964
NO,atncrse,mbtru,0.04113950741096992
NO,mbtru,atncrse,0.03917764956863309
NO,atncrse,marsts,0.0003241510755333774
NO,marsts,atncrse,0.018279429820608765
NO,atncrse,mnactic,0.26347555741789497
NO,mnactic,atncrse,0.21582653807899874
NO,atncrse,mnactp,0.18508668405787318
NO,mnactp,atncrse,0.016034263919120592
NO,atncrse,mocntr,0.059994923582770796
NO,mocntr,atncrse,0.34662059882705587
NO,atncrse,nacer2,0.5741028537926819
NO,nacer2,atncrse,0.16900029085843402
NO,atncrse,njbspv,0.48888542253685296
NO,njbspv,atncrse,0.5197266597120958
NO,atncrse,occm14b,0.08919021405175713
NO,occm14b,atncrse,0.3021383263661779
NO,atncrse,occf14b,0.03142306415812874
NO,occf14b,atncrse,0.006627648129954247
NO,atncrse,pdjobev,0.03102967752671959
NO,pdjobev,atncrse,0.1687545556855913
NO,atncrse,pdwrk,0.2572469582718075
NO,pdwrk,atncrse,0.05168199752949632
NO,atncrse,pdwrkp,0.820480982092503
NO,pdwrkp,atncrse,0.4613408042148992
NO,atncrse,polintr,0.19045892772919898
NO,polintr,atncrse,0.014365964489411442
NO,atncrse,pplfair,0.35230214568185186
NO,pplfair,atncrse,0.652506200132471
NO,atncrse,pplhlp,0.02424227818214053
NO,pplhlp,atncrse,0.2581864082347747
NO,atncrse,rlgblg,0.23604687767685434
NO,rlgblg,atncrse,0.0004854583536238508
NO,atncrse,rlgdnm,0.021948912473919537
NO,rlgdnm,atncrse,0.012563896765082187
NO,atncrse,rlgdnno,0.3567882810992659
NO,rlgdnno,atncrse,0.0020630153171327745
NO,atncrse,rshpsts,0.02179010671033407
NO,rshpsts,atncrse,0.1235685551405751
NO,atncrse,rtrd,0.09751854486563744
NO,rtrd,atncrse,0.09672485393726668
NO,atncrse,rtrdp,0.021538741135877625
NO,rtrdp,atncrse,0.13204990502656244
NO,atncrse,sclact,0.17776514846831915
NO,sclact,atncrse,0.12193331620977442
NO,atncrse,sclmeet,0.10662927298876508
NO,sclmeet,atncrse,0.024364490480384176
NO,atncrse,stfdem,0.5906074375710606
NO,stfdem,atncrse,0.0523263851487144
NO,atncrse,stfeco,0.07479309909765595
NO,stfeco,atncrse,0.48938635748839593
NO,atncrse,stfedu,0.3912870052819606
NO,stfedu,atncrse,0.04104314708253023
NO,atncrse,stfgov,0.0016605720670989845
NO,stfgov,atncrse,0.16651083511451284
